age,smoke,pop,dead,New column
40-44,no,656,18,27
45-59,no,359,22,61
50-54,no,249,19,76
55-59,no,632,55,87
60-64,no,1067,117,109
65-69,no,897,170,189
70-74,no,668,179,267
75-79,no,361,120,332
80+,no,274,120,437
40-44,cigarPipeOnly,145,2,13
45-59,cigarPipeOnly,104,4,38
50-54,cigarPipeOnly,98,3,30
55-59,cigarPipeOnly,372,38,102
60-64,cigarPipeOnly,846,113,133
65-69,cigarPipeOnly,949,173,182
70-74,cigarPipeOnly,824,212,257
75-79,cigarPipeOnly,667,243,364
80+,cigarPipeOnly,537,253,471
40-44,cigarrettePlus,4531,149,32
45-59,cigarrettePlus,3030,169,55
50-54,cigarrettePlus,2267,193,85
55-59,cigarrettePlus,4682,576,123
60-64,cigarrettePlus,6052,1001,165
65-69,cigarrettePlus,3880,901,232
70-74,cigarrettePlus,2033,613,301
75-79,cigarrettePlus,871,337,386
80+,cigarrettePlus,345,189,547
40-44,cigarretteOnly,3410,124,36
45-59,cigarretteOnly,2239,140,62
50-54,cigarretteOnly,1851,187,101
55-59,cigarretteOnly,3270,514,157
60-64,cigarretteOnly,3791,778,205
65-69,cigarretteOnly,2421,689,284
70-74,cigarretteOnly,1195,432,361
75-79,cigarretteOnly,436,214,490
80+,cigarretteOnly,113,63,557
